nFID,X,Y,Class,Name,Province,City,Street
0,113.071204835383,22.0652309145145,名称标注类,南海,广东省,珠海市,
1,113.080573168252,22.0970682091844,名称标注类,赤鼻岛,广东省,珠海市,
2,113.097286558882,22.093143840625,名称标注类,南海,广东省,珠海市,
3,113.111244462587,22.072358612104,生活服务/公厕,公厕,广东省,珠海市,
4,113.111262581009,22.0709910882296,交通设施/停车场/停车区,神秘岛停车场,广东省,珠海市,
5,113.111284414384,22.0743705055955,宾馆/旅店,神秘岛客栈,广东省,珠海市,
6,113.111343332639,22.0743024951242,餐饮/中餐馆,银泉海鲜酒家,广东省,珠海市,
7,113.111343422765,22.0743024939632,宾馆/旅店,海泉湾客栈B座,广东省,珠海市,
8,113.111373717408,22.0691192947089,生活服务/公厕,公厕,广东省,珠海市,
9,113.111737001778,22.0685983744195,餐饮/休闲餐饮/酒吧,海泉湾酒吧广场,广东省,珠海市,x582
10,113.111790039238,22.0684383710508,休闲娱乐,PK吧包房,广东省,珠海市,x582
11,113.11192582748,22.0740309143458,汽车服务/汽车/维修/养护/洗车,兴德科一站式汽车服务连锁海泉湾神秘岛店,广东省,珠海市,x582
12,113.111808997648,22.0684003471719,餐饮,苏斯湾餐厅,广东省,珠海市,x582
13,113.111837577602,22.0759165540594,休闲娱乐/体育场馆/高尔夫球场,海泉湾高尔夫练习场,广东省,珠海市,x582
14,113.111998755156,22.0739288621528,汽车服务/汽车/维修/养护/洗车,海泉湾汽车美容店,广东省,珠海市,x582
15,113.112283546044,22.203710772532,公司企业/厂矿,珠海佳粤造船有限公司,广东省,珠海市,
16,113.112078825692,22.070031226324,交通设施/公交车站/公交车站主点,海泉湾,广东省,珠海市,x582
17,113.112150292383,22.0661166442283,医疗,海泉湾健康体检中心,广东省,珠海市,x582
18,113.112163182061,22.0684456670987,休闲娱乐/音乐厅,海泉湾梦幻剧场,广东省,珠海市,x582
19,113.112479555559,22.0662509427415,休闲娱乐/健身中心/健身房/健身中心,海泉湾运动俱乐部,广东省,珠海市,x582
20,113.112369355514,22.0692732016406,餐饮/西餐厅,渔人码头西餐厅,广东省,珠海市,x582
21,113.112619528577,22.0689092514609,休闲娱乐/剧院,梦幻剧场,广东省,珠海市,x582
22,113.112704606769,22.0687112658725,餐饮,体育吧,广东省,珠海市,x582
23,113.112765291444,22.0750080032034,生活服务,海泉湾维景大酒店,广东省,珠海市,x582
24,113.112810212414,22.0747999398055,休闲娱乐/度假村/度假区,海泉湾渡假城,广东省,珠海市,x582
25,113.11304736652,22.0749961000191,交通设施/交叉路口,X582/Y402(路口),广东省,珠海市,x582
26,113.113081062059,22.0749260390716,道路/乡道,Y402,广东省,珠海市,x582
27,113.113081061974,22.0749261228235,道路/乡道,升平大道西,广东省,珠海市,x582
28,113.113470664183,22.0753055515145,交通设施/公交车站/公交车站主点,海泉湾生活区(二区),广东省,珠海市,升平大道西
29,113.113523047244,22.0695763312687,宾馆/旅店,海泉湾客栈A座,广东省,珠海市,x582
30,113.114008589477,22.0909745985849,名称标注类,海皮围,广东省,珠海市,y402
31,113.11437667101,22.0691429271067,公司企业/旅行社,海泉湾度假城行政中心,广东省,珠海市,x582
32,113.114840977612,22.069725522684,生活服务/公厕,公厕,广东省,珠海市,x582
33,113.114958523332,22.0796473103941,交通设施/公交车站/公交车站主点,海泉湾生活区(一区),广东省,珠海市,升平大道西
34,113.115011481212,22.0795379164817,地产小区,海泉湾度假城生活区,广东省,珠海市,升平大道西
35,113.115335397473,22.0691858281909,宾馆,海泉湾度假城,广东省,珠海市,x582
36,113.115458799025,22.0798984712443,休闲娱乐/体育场馆/垂钓,海泉湾休闲垂钧区,广东省,珠海市,升平大道西
37,113.116499205138,22.0691488741942,休闲娱乐/度假村/度假区,海泉湾渡假城东门,广东省,珠海市,x582
38,113.118560123862,22.0765788608546,名称标注类,大虎六队,广东省,珠海市,x582
39,113.118711119631,22.1039596686766,名称标注类,联合围,广东省,珠海市,
40,113.118985152188,22.0877153499264,餐饮/中餐馆,牛腾山度假山庄,广东省,珠海市,升平大道西
41,113.119382624451,22.0866953995861,行政地标/村庄,崩潭,广东省,珠海市,升平大道西
42,113.119382624451,22.0866953995861,政府机构/各级政府/村民委员会,崩潭村委会,广东省,珠海市,升平大道西
43,113.119784859702,22.0909727186254,自然山,观音山,广东省,珠海市,y402
44,113.120013853169,22.0913100215334,政府机构/各级政府/村民委员会,北环村委会,广东省,珠海市,y402
45,113.135772917018,22.176802424968,生活服务/摄影冲印/快照冲印,影艺照相馆,广东省,珠海市,x582
46,113.135773889277,22.176870457026,购物/家居建材,建兴五金交电行,广东省,珠海市,x582
47,113.135784853343,22.1770125111087,生活服务/摄影冲印/快照冲印,正东数码照相馆,广东省,珠海市,x582
48,113.135784910223,22.1771205615794,购物/批发市场/集市,金鑫商行,广东省,珠海市,x582
49,113.13578487311,22.1772385728371,医疗/社区医疗/诊所/卫生所,邓辉牙科诊所,广东省,珠海市,x582
50,113.135820877749,22.1774967143892,餐饮,金鑫酒家,广东省,珠海市,x582
51,113.135808585453,22.0888225016558,生活服务/美容美发,永凤理发店,广东省,珠海市,x763
52,113.135816140511,22.2022733529329,政府机构/各级政府/村民委员会,七星村村委会,广东省,珠海市,s270
53,113.135833063965,22.1887577483206,公司企业,珠海正业包装有限公司,广东省,珠海市,s270
54,113.107533550443,22.0625592084555,宾馆,海泉湾维景大酒店温泉区客房,广东省,珠海市,
55,113.108038862417,22.0718591544946,行政地标/村庄,三虎,广东省,珠海市,
56,113.108972623245,22.082632328347,宾馆,南国游艇休闲度假村,广东省,珠海市,
57,113.109163489945,22.0696068891709,宾馆/星级宾馆/酒店,海泉湾维景大酒店天王星,广东省,珠海市,
58,113.109255506524,22.0700891797747,交通设施/停车场/停车区,海泉湾大酒店停车场,广东省,珠海市,
59,113.109676833565,22.0673182690392,交通设施/停车场/停车区,海洋温泉停车场,广东省,珠海市,
60,113.109620775424,22.0689059160685,宾馆/星级宾馆/酒店/五星级,海泉湾维景大酒店天王星,广东省,珠海市,
61,113.109620775424,22.0689059160685,休闲娱乐/健身中心/健身房/健身中心,海王星健身房,广东省,珠海市,
62,113.109620775424,22.0689059160685,餐饮/中餐馆,四海轩中餐厅,广东省,珠海市,
63,113.109648008998,22.0688774497018,宾馆,珠海海泉湾维景大酒店,广东省,珠海市,
64,113.109923021258,22.0672784638458,购物/文物古玩,海泉湾纪念品店,广东省,珠海市,
65,113.109937983176,22.0673885113817,休闲娱乐/歌舞厅/夜总会/娱乐/城,海洋娱乐宫,广东省,珠海市,
66,113.109846018284,22.0671163098276,交通设施/停车场/停车区,地下停车场,广东省,珠海市,
67,113.109857962541,22.06728435656,生活服务/便利店,海泉湾便利店,广东省,珠海市,
68,113.110045093711,22.0673025339379,金融/银行/中国建设银行,中国建设银行珠海海泉湾分理处,广东省,珠海市,
69,113.110047161366,22.0650855110669,餐饮/中餐馆,茶米香中餐厅,广东省,珠海市,
70,113.110047161366,22.0650855110669,宾馆/星级宾馆/酒店/五星级,海泉湾维景大酒店海王星,广东省,珠海市,
71,113.110047161366,22.0650855110669,休闲娱乐/健身中心/健身房/健身中心,海王星健身房,广东省,珠海市,
72,113.109959039388,22.0673085176946,购物/图书音像,海洋之恋,广东省,珠海市,
73,113.10996099533,22.0673425005911,餐饮/中餐馆/粤菜,粤湘情,广东省,珠海市,
74,113.110010018157,22.0673345366506,生活服务/摄影冲印/快照冲印,信仰名门时尚婚纱摄影,广东省,珠海市,
75,113.110064124487,22.0672785150916,购物/图书音像,海岸之星,广东省,珠海市,
76,113.110174102921,22.067562712952,餐饮/中餐馆,小鱼仔,广东省,珠海市,
77,113.110552539937,22.0647477689285,交通设施/停车场/停车区,海王星停车场,广东省,珠海市,
78,113.110559101324,22.0718008421733,政府机构/各级政府/村民委员会,三虎村委会,广东省,珠海市,
79,113.110723245375,22.0703583712229,公司企业/旅行社,海泉湾神秘岛,广东省,珠海市,
80,113.110927372212,22.070546597313,旅游景点/游乐园,神秘岛,广东省,珠海市,
81,113.110963382198,22.0868496009793,餐饮,银泉酒家,广东省,珠海市,
82,113.111007378409,22.0704666018537,生活服务/公厕,公厕,广东省,珠海市,
83,113.111025429184,22.0705376488747,金融/atm,中国建设银行ATM,广东省,珠海市,
84,113.111144837524,22.0650744372493,地产小区/小区/楼盘,温泉别墅,广东省,珠海市,
85,113.111186829997,22.0650804341383,休闲娱乐/洗浴按摩/温泉,海泉湾温泉别墅,广东省,珠海市,
86,113.132537625093,22.1341875270684,名称标注类,禾穗围,广东省,珠海市,s270
87,113.13267308284,22.2213703972499,名称标注类,松茄,广东省,珠海市,s365
88,113.132799817721,22.2101109958864,自然山,两耳岭,广东省,珠海市,西部沿海高速公路
89,113.133189365864,22.0945193731656,行政地标/村庄,北环,广东省,珠海市,x763
90,113.133396253006,22.1466833418972,名称标注类,大利围,广东省,珠海市,s270
91,113.133514196167,22.1700844548733,餐饮,肥仔超酒楼,广东省,珠海市,s270
92,113.133567669155,22.1535273696675,名称标注类,联兴围,广东省,珠海市,s270
93,113.133828860311,22.088749366729,医疗/社区医疗/诊所/卫生所,平沙镇大虎社区卫生站,广东省,珠海市,x763
94,113.13402432321,22.178660387755,餐饮/中餐馆/海鲜,悦兴海鲜餐厅,广东省,珠海市,s270
95,113.133908573553,22.1410945657847,名称标注类,全益围,广东省,珠海市,s270
96,113.134024127488,22.0889138322162,政府机构/机关单位,平沙镇大虎社区食品药品安全工作站,广东省,珠海市,x763
97,113.134142222385,22.0887538976696,政府机构/各级政府/村民委员会,金湾区平沙镇大虎社区居民委员会,广东省,珠海市,x763
98,113.134142222385,22.0887538976696,政府机构/公检法机构/公安机关,珠海市温泉派出所,广东省,珠海市,x763
99,113.134167757833,22.2036492869525,行政地标/村庄,七星村,广东省,珠海市,s270
100,113.134227434051,22.1801352796286,生活服务,马山新鸿废品收购站,广东省,珠海市,s270
101,113.134468832437,22.0686497868426,交通设施/公交车站/公交车站主点,前西二队,广东省,珠海市,x582
102,113.134473642169,22.1812910303674,公司企业,新虹环保开发公司,广东省,珠海市,s270
103,113.134715877874,22.1827969038087,公司企业,宝丽石,广东省,珠海市,s270
104,113.134797095093,22.1031237216705,名称标注类,同福围,广东省,珠海市,s270
105,113.134838034471,22.1839795465615,公司企业/厂矿,航粤机电,广东省,珠海市,s270
106,113.134845273906,22.0889230825566,金融/农村信用社/城市信用社,珠海农村信用合作社大虎分社,广东省,珠海市,x763
107,113.134963637946,22.1508261139553,交通设施/桥/陆地桥,沙龙冲桥,广东省,珠海市,沙龙冲桥
108,113.135022533961,22.0888653044045,公司企业,永安饲料店,广东省,珠海市,x763
109,113.135029214738,22.089210896191,宾馆,珠海松涛雅苑度假酒店,广东省,珠海市,x763
110,113.135090602731,22.0887393517878,购物/综合商场/购物/中心,恒生百货商场大虎店,广东省,珠海市,x763
111,113.135372988098,22.0889238641355,医疗/药店/药房,佳健医药,广东省,珠海市,x763
112,113.135383724267,22.0855172741039,交通设施/公交车站/公交车站主点,大虎八队,广东省,珠海市,升平大道西
113,113.135460144643,22.0888339274014,公司企业,万灵水产技术服务部,广东省,珠海市,x763
114,113.135605226167,22.0686179550312,名称标注类,前西二队,广东省,珠海市,x582
115,113.13560233394,22.0888321926261,购物/家居建材,盛锋五金,广东省,珠海市,x763
116,113.135627685474,22.1767161405159,生活服务/公厕,公共厕所,广东省,珠海市,x582
117,113.135629283331,22.1130626393953,名称标注类,五丰围,广东省,珠海市,s270
118,113.135680667114,22.1777835562103,购物/综合商场/购物/中心,百福商场,广东省,珠海市,x582
119,113.135893105604,22.1760963595513,购物/家居建材,文记五金电器铺,广东省,珠海市,x582
120,113.135881798564,22.1933873814718,公司企业,华贸皮革制品有限公司,广东省,珠海市,s270
121,113.135927735818,22.0894629711349,行政地标/村庄,东角咀,广东省,珠海市,x763
122,113.135951714821,22.1762261546682,交通设施/公交车站/公交车站主点,马山旧车站,广东省,珠海市,x582
123,113.135971061756,22.1770337382431,医疗/药店/药房,康城药店,广东省,珠海市,x582
124,113.135953838585,22.0888207527183,政府机构/各级政府/村民委员会,东角咀村委会,广东省,珠海市,x763
125,113.135975114471,22.1767566510736,购物/综合商场/购物/中心,壹加加百货,广东省,珠海市,x582
126,113.135957336229,22.1215404114181,名称标注类,全发围,广东省,珠海市,s270
127,113.136011199921,22.1770648476785,餐饮,洪记饭店,广东省,珠海市,x582
128,113.135994129071,22.1421727110123,道路/县道,X583,广东省,珠海市,s270
129,113.135994129071,22.1421727110123,道路/县道,珠峰大道,广东省,珠海市,s270
130,113.135994671681,22.1421740437484,交通设施/交叉路口,X583/S270(路口),广东省,珠海市,s270
131,113.136038206884,22.1777951521063,餐饮,张记美食,广东省,珠海市,x582
132,113.13635457002,22.1788460728532,餐饮,荣兴大排挡,广东省,珠海市,x582
133,113.136406847778,22.1755729015081,生活服务/美容美发,创意美发,广东省,珠海市,x582
134,113.136584839433,22.1932254510503,公司企业,广东坚士制锁有限公司,广东省,珠海市,s270
135,113.136627345974,22.1741027339513,购物/家居建材,珠海市乾务镇骏马建材行,广东省,珠海市,x582
136,113.13660821702,22.2208786753956,行政地标/村庄,台港,广东省,珠海市,s270
137,113.136661985556,22.1793787560174,餐饮/中餐馆,大众美食,广东省,珠海市,x582
138,113.136728097145,22.1792027448936,公司企业/厂矿,马山酒厂,广东省,珠海市,x582
139,113.136769987897,22.0889320423647,购物/批发市场/集市,震昌杂货店,广东省,珠海市,x763
140,113.136800798145,22.183522352506,公司企业,航粤正泰成套电气设备公司,广东省,珠海市,x582
141,113.136800798145,22.183522352506,公司企业,珠海市天杰机械设备公司,广东省,珠海市,x582
142,113.136828224746,22.1796450402961,休闲娱乐/体育场馆/溜冰场,马山溜冰场,广东省,珠海市,x582
143,113.13684464308,22.1736708328864,生活服务/公厕,公厕,广东省,珠海市,x582
144,113.140566172806,22.1879319317101,公司企业/厂矿,联业丝染有限公司,广东省,珠海市,x582
145,113.136956796777,22.1796032427953,交通设施/公交车站/公交车站主点,沿山仔,广东省,珠海市,x582
146,113.140500297379,22.1132969010764,名称标注类,厚生围,广东省,珠海市,s270
147,113.140763718101,22.0880964698206,餐饮,漾泉顺德饭店,广东省,珠海市,x763
148,113.140788200401,22.0881402697695,自然山,东角山,广东省,珠海市,x763
149,113.140839052816,22.1353276531008,名称标注类,宝丰围,广东省,珠海市,s270
150,113.140898060391,22.1872152646269,交通设施/公交车站/公交车站主点,联业工业区,广东省,珠海市,x582
151,113.140930705318,22.1883356626011,公司企业,联业织染珠海有限公司,广东省,珠海市,x582
152,113.140944914109,22.1991873985519,公司企业,卓航电子科技有限公司,广东省,珠海市,s270
153,113.14112967974,22.1929865874132,公司企业/运输/物流,坚士制锁装卸货区,广东省,珠海市,x582
154,113.141141056052,22.188040940959,公司企业/工商业区,联业工业城,广东省,珠海市,x582
155,113.141287297982,22.1877309758501,公司企业,艺城家私,广东省,珠海市,x582
156,113.141522802199,22.1860047767244,公司企业,广东康特环保科技公司,广东省,珠海市,x582
157,113.141533483351,22.1907654364766,金融/atm,农村信用社ATM,广东省,珠海市,x582
158,113.141533483351,22.1907654364766,金融/农村信用社/城市信用社,珠海农信三村分社,广东省,珠海市,x582
159,113.141532248766,22.1932243146097,金融/atm,中国邮政储蓄银行ATM,广东省,珠海市,x582
160,113.141566538986,22.108011788767,名称标注类,五昌围,广东省,珠海市,s270
161,113.14162565032,22.1907506648915,金融/农村信用社/城市信用社,珠海农村信用合作社三村分社,广东省,珠海市,x582
162,113.141628659,22.1909127168813,政府机构/机关单位,乾务镇三村工业园区流动人口计划生育服务点,广东省,珠海市,x582
163,113.14163264771,22.1910868084856,餐饮,福建名饺,广东省,珠海市,x582
164,113.141694185157,22.1989095992541,公司企业/厂矿,旭日陶瓷制品有限公司,广东省,珠海市,s270
165,113.141703210386,22.1989856514403,公司企业/厂矿,白兔陶瓷有限公司,广东省,珠海市,s270
166,113.141735649305,22.191737161084,医疗/药店/药房,乾务镇五山永生药行,广东省,珠海市,x582
167,113.141762742842,22.1919793116252,休闲娱乐/ktv,2046CLUB,广东省,珠海市,x582
168,113.141778876823,22.1729785959653,交通设施/公交车站/公交车站主点,马山东,广东省,珠海市,x582
169,113.141778178898,22.1480653115344,名称标注类,同益围,广东省,珠海市,珠峰大道
170,113.141791209628,22.1731826292385,餐饮/中餐馆/海鲜,肥仔超海鲜餐厅,广东省,珠海市,x582
171,113.14179675204,22.1919623401739,休闲娱乐/网吧,爱乐网吧,广东省,珠海市,x582
172,113.141818769707,22.1923254483926,生活服务/邮局,中国邮政三村代办所,广东省,珠海市,x582
173,113.141800273675,22.2104991494298,交通设施/出入口/入口,入口,广东省,珠海市,s270
174,113.141831804306,22.1924615478799,餐饮/中餐馆/湘鄂菜,缘来香湘菜馆,广东省,珠海市,x582
175,113.14185589819,22.1925356248763,生活服务/电信营业厅/中国联通营业厅,中国联通综合厅,广东省,珠海市,x582
176,113.14200904802,22.1204027360721,名称标注类,穗生围,广东省,珠海市,s270
177,113.141882903981,22.1922036037349,休闲娱乐/体育场馆,三村棋牌娱乐馆,广东省,珠海市,x582
178,113.141939450792,22.1731248267564,行政地标/村庄,马山村东,广东省,珠海市,x582
179,113.141939450792,22.1731248267564,政府机构/各级政府/村民委员会,马山村东村委会,广东省,珠海市,x582
180,113.141910677163,22.2109119056948,交通设施/交叉路口,S270/西部沿海高速公路(路口),广东省,珠海市,s270
181,113.141985946835,22.1931590390802,购物/超市,惠园超市,广东省,珠海市,x582
182,113.142001356802,22.1755257757762,教育/初等教育/(小学),马山学校,广东省,珠海市,x582
